Размер массива | Время (нс) | Итерации
---------------------------------------
         100 |      54200 |     1243
         265 |      94200 |     4138
         430 |     142500 |     6782
         595 |     221600 |    10487
         760 |     279000 |    13661
         925 |     347800 |    16987
        1090 |     410500 |    22248
        1255 |      85500 |    24992
        1420 |      97200 |    28423
        1585 |     214800 |    32196
        1750 |     121700 |    35673
        1915 |     142700 |    39138
        2080 |     168200 |    46889
        2245 |     164900 |    49459
        2410 |     177000 |    53117
        2575 |     184400 |    57100
        2740 |     237900 |    60273
        2905 |     259800 |    64103
        3070 |     267700 |    67942
        3235 |     425500 |    72240
        3400 |     391500 |    75965
        3565 |     974800 |    79154
        3730 |     294900 |    84154
        3895 |     376300 |    87889
        4060 |     358500 |    91493
        4225 |     414300 |   102886
        4390 |     442300 |   106336
        4555 |     352900 |   109837
        4720 |     266500 |   113390
        4885 |     284300 |   117585
        5050 |     295900 |   119557
        5215 |     323500 |   126358
        5380 |     316700 |   129463
        5545 |     340800 |   132823
        5710 |     343000 |   137215
        5875 |     372600 |   140746
        6040 |     374400 |   144483
        6205 |     404300 |   151633
        6370 |     372400 |   155525
        6535 |     395900 |   159900
        6700 |     433500 |   164106
        6865 |     412500 |   168044
        7030 |     548200 |   172075
        7195 |     457200 |   177183
        7360 |     444000 |   180193
        7525 |     475500 |   184278
        7690 |     454700 |   190398
        7855 |     671200 |   193306
        8020 |     460000 |   198465
        8185 |     466300 |   202195
        8350 |     494900 |   220097
        8515 |     704700 |   223782
        8680 |     511500 |   228048
        8845 |     518400 |   232030
        9010 |     545100 |   235289
        9175 |     533900 |   237627
        9340 |     534800 |   243830
        9505 |     551200 |   247673
        9670 |     554200 |   251133
        9835 |     584700 |   255139
