Размер массива | Время (нс) | Итерации
---------------------------------------
         100 |      51500 |     1251
         265 |     101400 |     4347
         430 |     151200 |     7120
         595 |     233500 |    10739
         760 |     279700 |    13650
         925 |     348400 |    17249
        1090 |     483700 |    21919
        1255 |     107100 |    24809
        1420 |     118900 |    28029
        1585 |     117200 |    32283
        1750 |     117600 |    35474
        1915 |     136600 |    39238
        2080 |     160000 |    46412
        2245 |     163800 |    49746
        2410 |     187700 |    52740
        2575 |     233800 |    56774
        2740 |     240900 |    60151
        2905 |     283300 |    63659
        3070 |     273500 |    67460
        3235 |     280500 |    72366
        3400 |     924300 |    76138
        3565 |     903400 |    79944
        3730 |     908500 |    84323
        3895 |     369100 |    87621
        4060 |     358200 |    92234
        4225 |     364000 |   102559
        4390 |     482600 |   105761
        4555 |     607300 |   110253
        4720 |     570500 |   114163
        4885 |     301800 |   116985
        5050 |     303300 |   120529
        5215 |     309900 |   125559
        5380 |     333800 |   129932
        5545 |     372200 |   132245
        5710 |     343700 |   137609
        5875 |     373300 |   140525
        6040 |     354600 |   144199
        6205 |     378700 |   152131
        6370 |     405500 |   155741
        6535 |     397500 |   158774
        6700 |     433000 |   164515
        6865 |     426700 |   167669
        7030 |     420700 |   171310
        7195 |     462600 |   176349
        7360 |     592100 |   179659
        7525 |     450100 |   184674
        7690 |     549300 |   189320
        7855 |     452200 |   192917
        8020 |     460800 |   197733
        8185 |     488900 |   202367
        8350 |     509200 |   221273
        8515 |     515300 |   224441
        8680 |     531800 |   228825
        8845 |     535600 |   230974
        9010 |     533000 |   234224
        9175 |     526500 |   238683
        9340 |     555000 |   243732
        9505 |     565300 |   246284
        9670 |     558700 |   251658
        9835 |     597800 |   254951
