Размер массива | Время (нс) | Итерации
         101 |    1438600 |     1525
         265 |     186800 |     3594
         430 |     194200 |     8120
         595 |     239600 |    11037
         760 |     423600 |    16381
         925 |     478500 |    22065
        1090 |     600900 |    28547
        1255 |     557500 |    34136
        1420 |     135000 |    40668
        1585 |     131000 |    47159
        1750 |     230900 |    54551
        1915 |     184200 |    61920
        2080 |     262100 |    87407
        2245 |     503500 |    93890
        2410 |     635100 |   103541
        2575 |     529200 |   111103
        2740 |     597500 |   120451
        2905 |     720200 |   131149
        3070 |     460800 |   138836
        3235 |     689400 |   150024
        3400 |     234200 |   157129
        3565 |     246200 |   168839
        3730 |     249100 |   180554
        3895 |     280600 |   188264
        4060 |     297700 |   200524
        4225 |     449400 |   306031
        4390 |     530800 |   322083
        4555 |     470400 |   337436
        4720 |     498400 |   352781
        4885 |     604100 |   363066
        5050 |    2083600 |   379438
        5215 |     512200 |   396706
        5380 |     469500 |   405731
        5545 |     404600 |   422506
        5710 |     428200 |   434206
        5875 |     438800 |   451774
        6040 |     428600 |   460932
        6205 |     459700 |   477796
        6370 |     517300 |   496673
        6535 |     469600 |   506410
        6700 |     565400 |   522960
        6865 |     616800 |   544457
        7030 |     798500 |   556439
        7195 |     781600 |   571100
        7360 |     797200 |   583081
        7525 |     815600 |   603196
        7690 |     875400 |   617731
        7855 |    1132400 |   631340
        8020 |     953600 |   651380
        8185 |     877600 |   665782
        8350 |    2618700 |  1143971
        8515 |    1537500 |  1154325
        8680 |    1142700 |  1198134
        8845 |    1393200 |  1208535
        9010 |    1128000 |  1225648
        9175 |    1272300 |  1264267
        9340 |    1175300 |  1281540
        9505 |    1190900 |  1298607
        9670 |    1228700 |  1339118
        9835 |    1339900 |  1356044
